# Segment list file created Sun May 04 04:40:44 PM CDT 2008 by siemens on serenity.phys.uwm.edu
# Input: web-based segment information (run S5, ifos H1)
# H1 segment info extracted from seg_cit at 893865614
# Don't analyze data with the following flags: H1:AS_TRIGGER:v1 H1:AS_TRIGGER:v2 H1:AS_TRIGGER:v10 H1:AS_TRIGGER:v11 H1:AS_TRIGGER:v99 H1:ASC_Overflow:v0 H1:ASC_Overflow:v1 H1:ASC_Overflow:v10 H1:ASC_Overflow:v11 H1:ASC_Overflow:v12 H1:ASC_Overflow:v13 H1:ASC_Overflow:v99 H1:ASI_CORR_OVERFLOW:v0 H1:ASI_CORR_OVERFLOW:v1 H1:ASI_CORR_OVERFLOW:v2 H1:ASI_CORR_OVERFLOW:v3 H1:ASI_CORR_OVERFLOW:v10 H1:ASI_CORR_OVERFLOW:v11 H1:ASI_CORR_OVERFLOW:v12 H1:ASI_CORR_OVERFLOW:v99 H1:CALIB_BAD_COEFFS_60:v1 H1:CALIB_BAD_COEFFS_60:v2 H1:CALIB_BAD_COEFFS_60:v10 H1:CALIB_BAD_COEFFS_60:v99 H1:CALIB_DROPOUT_1SAMPLE:v1 H1:CALIB_DROPOUT_1SAMPLE:v3 H1:CALIB_DROPOUT_1SAMPLE:v4 H1:CALIB_DROPOUT_1SAMPLE:v10 H1:CALIB_DROPOUT_1SAMPLE:v11 H1:CALIB_DROPOUT_1SAMPLE:v99 H1:CALIB_DROPOUT_1SEC:v1 H1:CALIB_DROPOUT_1SEC:v3 H1:CALIB_DROPOUT_1SEC:v4 H1:CALIB_DROPOUT_1SEC:v10 H1:CALIB_DROPOUT_1SEC:v11 H1:CALIB_DROPOUT_1SEC:v99 H1:CALIB_DROPOUT_AWG_STUCK:v1 H1:CALIB_DROPOUT_AWG_STUCK:v3 H1:CALIB_DROPOUT_AWG_STUCK:v4 H1:CALIB_DROPOUT_AWG_STUCK:v10 H1:CALIB_DROPOUT_AWG_STUCK:v11 H1:CALIB_DROPOUT_AWG_STUCK:v99 H1:CALIB_GLITCH_ZG:v1 H1:CALIB_GLITCH_ZG:v3 H1:CALIB_GLITCH_ZG:v4 H1:CALIB_GLITCH_ZG:v10 H1:CALIB_GLITCH_ZG:v11 H1:CALIB_GLITCH_ZG:v99 H1:CORRUPTED_RDS_C03_LX:v10 H1:CORRUPTED_RDS_C03_LX:v11 H1:CORRUPTED_RDS_C03_LX:v99 H1:INVALID_DARMERR:v1 H1:INVALID_DARMERR:v10 H1:INVALID_DARMERR:v99 H1:LSC_OVERFLOW:v0 H1:LSC_OVERFLOW:v1 H1:LSC_OVERFLOW:v10 H1:LSC_OVERFLOW:v11 H1:LSC_OVERFLOW:v99 H1:MASTER_OVERFLOW_LSC:v1 H1:MASTER_OVERFLOW_LSC:v10 H1:MASTER_OVERFLOW_LSC:v11 H1:MASTER_OVERFLOW_LSC:v99 H1:MISSING_RAW:v1 H1:MISSING_RAW:v10 H1:MISSING_RAW:v11 H1:MISSING_RAW:v99 H1:MISSING_RDS_C03_L2:v1 H1:MISSING_RDS_C03_L2:v10 H1:MISSING_RDS_C03_L2:v11 H1:MISSING_RDS_C03_L2:v99 H1:MISSING_RDS_LEVEL_1:v1 H1:MISSING_RDS_LEVEL_1:v10 H1:MISSING_RDS_LEVEL_1:v11 H1:MISSING_RDS_LEVEL_1:v99 H1:NO_CALIB_LINE:v1 H1:NO_CALIB_LINE:v10 H1:NO_CALIB_LINE:v11 H1:NO_CALIB_LINE:v99 H1:OUT_OF_LOCK:v1 H1:OUT_OF_LOCK:v10 H1:OUT_OF_LOCK:v11 H1:OUT_OF_LOCK:v99 H1:PRE_LOCKLOSS_30_SEC:v1 H1:PRE_LOCKLOSS_30_SEC:v10 H1:PRE_LOCKLOSS_30_SEC:v11 H1:PRE_LOCKLOSS_30_SEC:v99 H1:SEVERE_LSC_OVERFLOW:v0 H1:SEVERE_LSC_OVERFLOW:v1 H1:SEVERE_LSC_OVERFLOW:v2 H1:SEVERE_LSC_OVERFLOW:v3 H1:SEVERE_LSC_OVERFLOW:v10 H1:SEVERE_LSC_OVERFLOW:v11 H1:SEVERE_LSC_OVERFLOW:v12 H1:SEVERE_LSC_OVERFLOW:v99
# Total duration of segments to be analyzed: 46382185
#seg    start      stop    duration
   2  815402953  815403073    120
   3  815410873  815412894   2021
   3  815412897  815412910     13
   4  815412959  815414233   1274
   4  815414263  815414266      3
   5  815494115  815494942    827
   5  815494945  815498048   3103
   6  815563778  815570255   6477
   6  815570257  815571733   1476
   7  815572952  815580719   7767
   8  815582989  815585328   2339
   9  815586326  815586443    117
   9  815586447  815586526     79
  10  815589938  815590153    215
  11  815591958  815592253    295
  12  815592317  815592373     56
  13  815726352  815734181   7829
  14  815751372  815753031   1659
  14  815753033  815757706   4673
  15  815772558  815773381    823
  16  815773878  815775741   1863
  17  815775973  815776494    521
  18  815776912  815776992     80
  19  815780978  815783310   2332
  20  815795295  815795431    136
  21  815796003  815798508   2505
  22  815804799  815805564    765
  23  815813402  815817718   4316
  23  815817719  815820237   2518
  24  815821081  815826882   5801
  24  815826885  815827695    810
  24  815827698  815833207   5509
  24  815833210  815836093   2883
  25  815838512  815840967   2455
  26  815880370  815889051   8681
  27  815889406  815890633   1227
  28  815892907  815902072   9165
  29  815902260  815904913   2653
  29  815904962  815904963      1
  30  815912574  815913187    613
  31  815916245  815917029    784
  32  815927183  815927353    170
  33  815928305  815928363     58
  34  815931030  815931056     26
  35  815962530  815962812    282
  36  815963531  815963893    362
  37  815964775  815965318    543
  38  815965936  815966105    169
  39  815966831  815966839      8
  40  815970229  815971693   1464
  41  815971853  815972893   1040
  42  815974096  815988424  14328
  43  815989608  815999291   9683
  44  816000300  816001175    875
  44  816001178  816002503   1325
  45  816003093  816003233    140
  46  816006191  816008583   2392
  48  816017494  816019179   1685
  50  816054956  816055149    193
  50  816055152  816060544   5392
  50  816060547  816072971  12424
  51  816074396  816078899   4503
  51  816078902  816080080   1178
  52  816082625  816089507   6882
  52  816089509  816092053   2544
  53  816095582  816095833    251
  54  816096599  816098092   1493
  54  816098095  816099133   1038
  55  816100791  816103333   2542
  56  816141407  816141659    252
  57  816142132  816142159     27
  58  816143173  816156455  13282
  58  816156457  816183165  26708
  59  816184320  816185353   1033
  60  816186901  816189789   2888
  61  816190352  816192342   1990
  62  816193833  816195463   1630
  63  816197786  816199156   1370
  64  816200244  816200694    450
  65  816201454  816203293   1839
  66  816204829  816204854     25
  67  816206281  816207613   1332
  68  816207978  816208453    475
  69  816209567  816209590     23
  70  816210833  816211868   1035
  71  816213626  816214131    505
  72  816214942  816215004     62
  73  816247674  816266372  18698
  73  816266375  816271619   5244
  74  816273495  816277077   3582
  75  816277994  816280392   2398
  77  816284928  816285013     85
  78  816290344  816291529   1185
  79  816319884  816326067   6183
  80  816327625  816343929  16304
  80  816343932  816353593   9661
  81  816356313  816360253   3940
  82  816360987  816363168   2181
  82  816363171  816363841    670
  83  816364506  816369000   4494
  84  816374569  816377053   2484
  85  816383502  816383508      6
  86  816383535  816384410    875
  87  816386130  816387882   1752
  88  816388101  816390253   2152
  89  816393435  816394485   1050
  90  816397338  816400589   3251
  90  816400592  816430802  30210
  91  816432144  816438231   6087
  91  816438233  816439273   1040
  92  816443733  816444247    514
  93  816444354  816445753   1399
  94  816446360  816448803   2443
  95  816450273  816453228   2955
  95  816453231  816456751   3520
  95  816456753  816457126    373
  96  816459873  816462529   2656
  96  816462532  816469847   7315
  97  816470728  816471708    980
  98  816472765  816481445   8680
  99  816482752  816493422  10670
  99  816493425  816493547    122
 100  816495423  816497803   2380
 100  816497805  816509032  11227
 100  816509035  816526313  17278
 101  816526730  816526740     10
 102  816528645  816534628   5983
 102  816534631  816535086    455
 103  816535619  816540853   5234
 104  816542382  816548581   6199
 106  816554089  816563151   9062
 107  816564940  816572138   7198
 108  816573266  816589889  16623
 108  816589892  816596820   6928
 108  816596823  816603815   6992
 108  816603817  816618515  14698
 108  816618518  816623293   4775
 109  816625941  816626700    759
 110  816626914  816630133   3219
 111  816633130  816633660    530
 112  816634759  816635113    354
 113  816635861  816636905   1044
 114  816636973  816637692    719
 115  816650176  816656394   6218
 115  816656397  816657324    927
 116  816660712  816674833  14121
 117  816676286  816703812  27526
 117  816703815  816707713   3898
 119  816709659  816710413    754
 120  816776371  816776380      9
 121  816776409  816776410      1
 122  816776414  816776420      6
 123  816777770  816777779      9
 124  816778075  816778079      4
 125  816778348  816783709   5361
 125  816783712  816793051   9339
 126  816793105  816807193  14088
