# Segment list file created Sun May 04 05:18:18 PM CDT 2008 by siemens on serenity.phys.uwm.edu
# Input: web-based segment information (run S5, ifos L1)
# L1 segment info extracted from seg_cit at 893865614
# Don't analyze data with the following flags: L1:AS_TRIGGER:v1 L1:AS_TRIGGER:v2 L1:AS_TRIGGER:v3 L1:AS_TRIGGER:v10 L1:AS_TRIGGER:v11 L1:AS_TRIGGER:v99 L1:ASC_Overflow:v0 L1:ASC_Overflow:v1 L1:ASC_Overflow:v10 L1:ASC_Overflow:v99 L1:ASI_CORR_OVERFLOW:v0 L1:ASI_CORR_OVERFLOW:v1 L1:ASI_CORR_OVERFLOW:v2 L1:ASI_CORR_OVERFLOW:v3 L1:ASI_CORR_OVERFLOW:v10 L1:ASI_CORR_OVERFLOW:v99 L1:BAD_SENSING:v1 L1:BAD_SENSING:v10 L1:BAD_SENSING:v99 L1:BAD_SERVO:v1 L1:BAD_SERVO:v10 L1:BAD_SERVO:v99 L1:CALIB_BAD_COEFFS_60:v1 L1:CALIB_BAD_COEFFS_60:v2 L1:CALIB_BAD_COEFFS_60:v10 L1:CALIB_BAD_COEFFS_60:v99 L1:CALIB_DROPOUT_1SAMPLE:v1 L1:CALIB_DROPOUT_1SAMPLE:v2 L1:CALIB_DROPOUT_1SAMPLE:v3 L1:CALIB_DROPOUT_1SAMPLE:v4 L1:CALIB_DROPOUT_1SAMPLE:v10 L1:CALIB_DROPOUT_1SAMPLE:v11 L1:CALIB_DROPOUT_1SAMPLE:v99 L1:CALIB_DROPOUT_1SEC:v2 L1:CALIB_DROPOUT_1SEC:v3 L1:CALIB_DROPOUT_1SEC:v4 L1:CALIB_DROPOUT_1SEC:v10 L1:CALIB_DROPOUT_1SEC:v11 L1:CALIB_DROPOUT_1SEC:v99 L1:CALIB_DROPOUT_AWG_STUCK:v1 L1:CALIB_DROPOUT_AWG_STUCK:v3 L1:CALIB_DROPOUT_AWG_STUCK:v4 L1:CALIB_DROPOUT_AWG_STUCK:v10 L1:CALIB_DROPOUT_AWG_STUCK:v11 L1:CALIB_DROPOUT_AWG_STUCK:v99 L1:CALIB_DROPOUT_BN:v1 L1:CALIB_DROPOUT_BN:v10 L1:CALIB_DROPOUT_BN:v99 L1:CALIB_GLITCH_ZG:v1 L1:CALIB_GLITCH_ZG:v3 L1:CALIB_GLITCH_ZG:v4 L1:CALIB_GLITCH_ZG:v10 L1:CALIB_GLITCH_ZG:v11 L1:CALIB_GLITCH_ZG:v99 L1:CORRUPTED_RDS_C03_LX:v10 L1:CORRUPTED_RDS_C03_LX:v99 L1:INVALID_DARMERR:v1 L1:INVALID_DARMERR:v10 L1:INVALID_DARMERR:v99 L1:MASTER_OVERFLOW_LSC:v1 L1:MASTER_OVERFLOW_LSC:v10 L1:MASTER_OVERFLOW_LSC:v11 L1:MASTER_OVERFLOW_LSC:v99 L1:MISSING_RDS_C03_L2:v1 L1:MISSING_RDS_C03_L2:v10 L1:MISSING_RDS_C03_L2:v11 L1:MISSING_RDS_C03_L2:v99 L1:MISSING_RDS_LEVEL_1:v1 L1:MISSING_RDS_LEVEL_1:v10 L1:MISSING_RDS_LEVEL_1:v11 L1:MISSING_RDS_LEVEL_1:v99 L1:NO_CALIB_LINE:v1 L1:NO_CALIB_LINE:v10 L1:NO_CALIB_LINE:v11 L1:NO_CALIB_LINE:v99 L1:OUT_OF_LOCK:v1 L1:OUT_OF_LOCK:v10 L1:OUT_OF_LOCK:v11 L1:OUT_OF_LOCK:v99 L1:PRE_LOCKLOSS_30_SEC:v1 L1:PRE_LOCKLOSS_30_SEC:v10 L1:PRE_LOCKLOSS_30_SEC:v11 L1:PRE_LOCKLOSS_30_SEC:v99 L1:SEVERE_LSC_OVERFLOW:v1 L1:SEVERE_LSC_OVERFLOW:v2 L1:SEVERE_LSC_OVERFLOW:v3 L1:SEVERE_LSC_OVERFLOW:v10 L1:SEVERE_LSC_OVERFLOW:v99
# Total duration of segments to be analyzed: 39447612
#seg    start      stop    duration
   2  816061324  816061427    103
   3  816062161  816062207     46
   4  816062271  816062987    716
   5  816064048  816064577    529
   6  816064752  816065043    291
   7  816065503  816065957    454
   8  816065991  816066168    177
   9  816066179  816066215     36
  10  816066223  816066532    309
  11  816068440  816068702    262
  12  816068764  816069152    388
  13  816069505  816069857    352
  14  816069963  816076084   6121
  15  816085801  816087968   2167
  16  816088083  816094516   6433
  16  816094519  816094582     63
  16  816094586  816096167   1581
  17  816097026  816097625    599
  18  816098432  816099133    701
  19  816132800  816133051    251
  19  816133054  816133076     22
  23  816229176  816231736   2560
  23  816231739  816236578   4839
  24  816258792  816259153    361
  25  816260098  816260113     15
  26  816260809  816264750   3941
  28  816267217  816269331   2114
  29  816270860  816271108    248
  29  816271111  816271935    824
  30  816271940  816272233    293
  30  816272236  816272458    222
  30  816272461  816274673   2212
  30  816274676  816275739   1063
  30  816275742  816276853   1111
  31  816287178  816288553   1375
  32  816289750  816290891   1141
  33  816303755  816305443   1688
  34  816306983  816308876   1893
  35  816310655  816311473    818
  36  816311986  816314382   2396
  37  816314942  816318231   3289
  38  816321073  816323952   2879
  39  816324557  816324613     56
  40  816325335  816330414   5079
  41  816330886  816337573   6687
  42  816338522  816341953   3431
  43  816344402  816348253   3851
  45  816349019  816358871   9852
  46  816359384  816359533    149
  47  816362511  816364873   2362
  48  816366108  816367546   1438
  49  816367883  816368161    278
  50  816369733  816370333    600
  51  816371734  816376260   4526
  52  816386940  816387520    580
  53  816402435  816403467   1032
  54  816407805  816410605   2800
  54  816410608  816416512   5904
  55  816417153  816437922  20769
  56  816439775  816440339    564
  56  816440343  816440353     10
  56  816443253  816445993   2740
  56  816459130  816463887   4757
  57  816463981  816464823    842
  59  816464909  816473698   8789
  60  816474324  816480941   6617
  62  816482627  816484609   1982
  63  816485606  816486333    727
  63  816486337  816486409     72
  64  816486459  816486615    156
  64  816486618  816486653     35
  65  816486672  816487171    499
  65  816487174  816488076    902
  66  816488256  816488413    157
  67  816493058  816512264  19206
  68  816512741  816518449   5708
  69  816520882  816526079   5197
  70  816527115  816527413    298
  71  816541120  816557353  16233
  72  816558047  816560284   2237
  73  816563711  816567553   3842
  74  816568930  816574102   5172
  75  816574110  816574135     25
  76  816574139  816578653   4514
  77  816579423  816581353   1930
  78  816582145  816593713  11568
  79  816600198  816607952   7754
  80  816613462  816615313   1851
  81  816617073  816618513   1440
  82  816619011  816619425    414
  83  816619533  816619573     40
  84  816651331  816651507    176
  84  816651510  816651598     88
  84  816651601  816651946    345
  84  816651949  816651963     14
  84  816651966  816653002   1036
  84  816653005  816654973   1968
  85  816656274  816662893   6619
  86  816663559  816664205    646
  86  816664208  816665653   1445
  87  816667587  816667589      2
  88  816668003  816675841   7838
  89  816676673  816693853  17180
  90  816697883  816697884      1
  90  816697887  816697896      9
  90  816697908  816698519    611
  90  816698524  816698543     19
  90  816698548  816698564     16
  91  816706743  816706781     38
  91  816706784  816707353    569
  92  816737408  816737828    420
  93  816737834  816738413    579
  93  816738416  816738714    298
  93  816738717  816749342  10625
  93  816749345  816749367     22
  93  816749370  816749413     43
  94  816750806  816752671   1865
  94  816752674  816752822    148
  95  816757833  816759467   1634
  96  816760119  816769440   9321
  97  816771575  816771601     26
  97  816771604  816771622     18
  97  816771626  816771627      1
  97  816771632  816771635      3
  97  816771643  816771662     19
  97  816771665  816771668      3
  97  816771671  816771672      1
  98  816772426  816773173    747
  99  816775140  816775566    426
 100  816776927  816777079    152
 100  816777082  816779337   2255
 100  816779340  816779441    101
 100  816779444  816780482   1038
 100  816780485  816783756   3271
 100  816783765  816783793     28
 101  816790398  816791950   1552
 101  816791953  816792104    151
 102  816821542  816821564     22
 103  816825524  816825703    179
 103  816825706  816825793     87
 104  816827265  816828762   1497
 104  816828765  816830653   1888
 105  816831356  816833182   1826
 106  816840345  816851504  11159
 108  816852661  816856490   3829
 108  816856493  816856749    256
 108  816856752  816856812     60
 109  816858141  816864072   5931
 110  816908980  816911375   2395
 110  816911378  816913365   1987
