Dataset	Detector	GPS	dopplerX	dopplerY	dopplerZ	R1598	R1599	R1600	R1601	R1602	I1598	I1599	I1600	I1601	I1602	P1598	P1599	P1600	P1601	P1602
H1_395_415	LHO	856999996	-3.14532e-05	-8.65571e-05	-3.79002e-05	-1.76912e-23	-9.77954e-24	2.42451e-23	-2.36667e-23	1.20633e-23	4.24044e-23	-2.23108e-23	-4.03317e-23	5.27058e-23	-4.8838e-23	2.11111e-45	5.93412e-46	2.21447e-45	3.33801e-45	2.53068e-45
H1_395_415	LHO	856999998	-3.14533e-05	-8.65572e-05	-3.79002e-05	-6.38981e-23	6.61386e-23	-9.77024e-24	-8.78827e-24	5.90705e-24	2.59911e-23	1.18164e-23	-3.20578e-23	4.68099e-23	-5.58098e-23	4.7585e-45	4.51395e-45	1.12316e-45	2.2684e-45	3.14963e-45
H1_395_415	LHO	857000000	-3.14534e-05	-8.65573e-05	-3.79002e-05	-5.16992e-23	2.56802e-23	-2.33374e-23	3.1139e-23	1.81831e-24	-8.13739e-24	1.06397e-23	5.17114e-24	-1.18769e-23	-5.35651e-24	2.73903e-45	7.72677e-46	5.71377e-46	1.1107e-45	3.19984e-47
H1_395_415	LHO	857000002	-3.14535e-05	-8.65574e-05	-3.79002e-05	1.06096e-24	-2.31501e-23	3.73985e-23	-3.48821e-23	4.03621e-23	-7.73208e-24	-2.84652e-24	-1.57182e-23	6.75253e-24	3.28364e-23	6.09106e-47	5.4403e-46	1.64571e-45	1.26236e-45	2.70733e-45
H1_395_415	LHO	857000004	-3.14536e-05	-8.65575e-05	-3.79002e-05	-1.51174e-23	1.46251e-23	2.69445e-24	7.81008e-24	-3.16355e-23	9.948e-24	1.04668e-23	-4.7971e-24	-1.96068e-23	3.47885e-23	3.27498e-46	3.23448e-46	3.02722e-47	4.45423e-46	2.21104e-45
H1_395_415	LHO	857000006	-3.14537e-05	-8.65576e-05	-3.79002e-05	1.53923e-24	-1.85437e-23	3.55169e-23	-2.50769e-23	-1.74166e-23	4.51573e-23	-7.12835e-23	6.54237e-23	-5.13161e-23	3.67178e-23	2.04156e-45	5.42521e-45	5.54171e-45	3.2622e-45	1.65154e-45
H1_395_415	LHO	857000008	-3.14538e-05	-8.65577e-05	-3.79002e-05	-2.76296e-23	6.31295e-24	-2.61147e-23	3.78225e-23	-2.28149e-23	2.69349e-23	3.79086e-23	-3.66501e-23	2.09431e-23	-3.27162e-23	1.48888e-45	1.47692e-45	2.02521e-45	1.86915e-45	1.59087e-45
H1_395_415	LHO	857000010	-3.14539e-05	-8.65578e-05	-3.79002e-05	4.82265e-23	2.8482e-23	-4.38693e-23	-4.19027e-24	3.87587e-23	1.63254e-23	-1.01023e-23	-6.05015e-24	1.1155e-23	-3.80849e-23	2.59232e-45	9.13282e-46	1.96112e-45	1.41993e-46	2.9527e-45
H1_395_415	LHO	857000012	-3.14539e-05	-8.65579e-05	-3.79002e-05	-1.85734e-24	8.58348e-24	-1.72846e-23	-1.0231e-23	2.86707e-23	-1.54679e-23	-5.85555e-24	7.34004e-24	2.43286e-23	-2.86856e-23	2.42704e-46	1.07964e-46	3.52634e-46	6.96554e-46	1.64487e-45
H1_395_415	LHO	857000014	-3.1454e-05	-8.6558e-05	-3.79002e-05	1.243e-23	-2.27549e-23	6.3412e-24	1.77859e-23	-8.62006e-24	-1.63952e-23	-3.05624e-24	8.65067e-24	-8.0575e-24	2.31773e-23	4.23307e-46	5.27125e-46	1.15045e-46	3.81262e-46	6.11492e-46
H1_395_415	LHO	857000016	-3.14541e-05	-8.65581e-05	-3.79002e-05	3.83904e-23	-2.64682e-23	2.54725e-23	-4.08672e-23	4.26561e-23	-1.44064e-24	7.59952e-24	1.20182e-23	-4.8183e-23	4.45467e-23	1.4759e-45	7.5832e-46	7.93283e-46	3.99173e-45	3.80396e-45
H1_395_415	LHO	857000018	-3.14542e-05	-8.65582e-05	-3.79002e-05	-1.14975e-23	-1.07948e-23	2.82323e-23	-4.85555e-23	5.6581e-23	3.11338e-23	-4.14188e-23	7.1412e-24	2.50201e-23	-1.41377e-23	1.10151e-45	1.83204e-45	8.48059e-46	2.98364e-45	3.40129e-45
H1_395_415	LHO	857000020	-3.14543e-05	-8.65583e-05	-3.79002e-05	-3.12534e-23	-2.18621e-23	7.55135e-23	-6.91988e-23	4.73085e-23	2.47501e-23	-2.12459e-23	8.2818e-24	1.91065e-23	-2.86229e-23	1.58934e-45	9.29338e-46	5.77087e-45	5.15353e-45	3.05736e-45
H1_395_415	LHO	857000022	-3.14544e-05	-8.65584e-05	-3.79003e-05	-3.62196e-23	2.45847e-23	-1.17362e-23	3.3411e-23	-3.43331e-23	1.81224e-23	2.54709e-24	1.98498e-23	-2.34657e-23	1.22076e-23	1.64028e-45	6.10893e-46	5.31754e-46	1.66693e-45	1.32779e-45
H1_395_415	LHO	857000024	-3.14545e-05	-8.65585e-05	-3.79003e-05	-2.18808e-23	5.41318e-23	-4.96711e-23	3.3063e-23	-4.94788e-23	1.89154e-23	-3.3006e-23	5.54992e-23	-3.06741e-23	-1.41124e-23	8.36563e-46	4.01964e-45	5.54738e-45	2.03406e-45	2.64731e-45
H1_395_415	LHO	857000026	-3.14546e-05	-8.65586e-05	-3.79003e-05	1.3514e-23	-1.18166e-23	-1.66453e-25	2.30903e-25	-1.24334e-23	-2.54466e-23	-1.31723e-23	4.07685e-23	1.26519e-23	-5.77294e-23	8.30159e-46	3.13143e-46	1.6621e-45	1.60123e-46	3.48727e-45
H1_395_415	LHO	857000028	-3.14547e-05	-8.65587e-05	-3.79003e-05	-1.78217e-23	2.14745e-23	-2.98907e-23	3.32928e-23	6.15725e-24	-3.78821e-23	5.30653e-24	2.18745e-23	4.93135e-24	-4.00589e-23	1.75267e-45	4.89311e-46	1.37195e-45	1.13273e-45	1.64262e-45
H1_395_415	LHO	857000030	-3.14547e-05	-8.65588e-05	-3.79003e-05	2.24929e-24	-4.25858e-23	1.79382e-23	8.5346e-24	8.63265e-25	5.1243e-24	1.41512e-23	-3.52715e-23	3.15088e-23	-2.178e-23	3.13177e-47	2.01381e-45	1.56586e-45	1.06565e-45	4.75112e-46
H1_395_415	LHO	857000032	-3.14548e-05	-8.65589e-05	-3.79003e-05	-1.20807e-23	1.84669e-23	1.55855e-23	-2.51412e-23	-4.05318e-24	3.69936e-23	-1.1353e-23	-2.35639e-23	2.09659e-23	4.48354e-24	1.51447e-45	4.69916e-46	7.98166e-46	1.07165e-45	3.65304e-47
H1_395_415	LHO	857000034	-3.14549e-05	-8.6559e-05	-3.79003e-05	-1.26538e-23	2.52764e-23	-1.67078e-23	1.27839e-24	3.93649e-24	-9.84059e-24	1.43789e-23	1.21708e-23	-1.71439e-23	-3.44376e-23	2.56955e-46	8.45648e-46	4.27279e-46	2.95548e-46	1.20144e-45
H1_395_415	LHO	857000036	-3.1455e-05	-8.65591e-05	-3.79003e-05	2.61983e-23	-8.39848e-24	-4.74407e-24	-1.56932e-23	3.07862e-23	-1.03873e-23	-5.2075e-24	1.43064e-23	1.92611e-23	-2.04935e-23	7.94249e-46	9.76525e-47	2.27181e-46	6.17267e-46	1.36778e-45
H1_395_415	LHO	857000038	-3.14551e-05	-8.65592e-05	-3.79003e-05	-9.3125e-24	-2.35925e-24	-9.87377e-24	1.56683e-23	1.12813e-23	2.06717e-23	-4.66271e-23	4.6993e-23	-2.74208e-23	4.64827e-25	5.14041e-46	2.17966e-45	2.30583e-45	9.97394e-46	1.27483e-46
H1_395_415	LHO	857000040	-3.14552e-05	-8.65593e-05	-3.79003e-05	-5.74431e-23	3.59545e-23	-2.9295e-23	7.87536e-24	-1.25556e-23	2.63759e-23	6.98961e-24	-1.55988e-23	2.24649e-23	-3.99885e-23	3.99539e-45	1.34158e-45	1.10152e-45	5.66693e-46	1.75672e-45
H1_395_415	LHO	857000042	-3.14553e-05	-8.65594e-05	-3.79003e-05	-1.55107e-23	3.69686e-23	-4.23198e-23	5.44239e-23	-4.17571e-23	5.23196e-23	-3.86246e-23	4.22273e-24	2.62938e-23	-6.31488e-24	2.97792e-45	2.85854e-45	1.80879e-45	3.65332e-45	1.78353e-45
H1_395_415	LHO	857000044	-3.14554e-05	-8.65595e-05	-3.79003e-05	-8.19773e-24	1.84813e-23	-1.28691e-23	6.64097e-24	1.1748e-25	-3.67594e-23	2.66504e-23	4.89412e-24	-3.95484e-23	3.8596e-24	1.41846e-45	1.0518e-45	1.89567e-46	1.60818e-45	1.49103e-47
H1_395_415	LHO	857000046	-3.14555e-05	-8.65596e-05	-3.79003e-05	2.19406e-24	7.31681e-25	8.78977e-24	-3.48639e-23	3.0534e-23	-4.55988e-23	1.77252e-23	-3.55853e-24	1.32997e-23	2.90873e-23	2.08407e-45	3.14718e-46	8.99233e-47	1.39238e-45	1.7784e-45
H1_395_415	LHO	857000048	-3.14555e-05	-8.65597e-05	-3.79003e-05	1.98432e-23	-2.22504e-23	9.48397e-24	-5.7331e-24	4.44328e-24	-6.06156e-23	4.43513e-23	-1.08473e-23	1.32405e-23	-4.05383e-23	4.068e-45	2.46212e-45	2.07609e-46	2.0818e-46	1.6631e-45
H1_395_415	LHO	857000050	-3.14556e-05	-8.65598e-05	-3.79003e-05	3.25316e-23	-4.13136e-23	3.99172e-23	-3.95818e-23	5.54287e-23	4.74928e-23	-5.46041e-23	4.16461e-23	-9.5196e-24	2.75082e-24	3.31387e-45	4.68842e-45	3.32778e-45	1.65734e-45	3.07991e-45
H1_395_415	LHO	857000052	-3.14557e-05	-8.656e-05	-3.79003e-05	-3.73846e-23	2.71869e-23	-2.77281e-23	2.64269e-23	-2.20515e-23	-2.87502e-23	2.1317e-23	-1.75822e-24	-1.7522e-23	1.18749e-24	2.22418e-45	1.19354e-45	7.7194e-46	1.0054e-45	4.87678e-46
H1_395_415	LHO	857000054	-3.14558e-05	-8.65601e-05	-3.79003e-05	-7.21675e-24	6.82372e-25	5.23441e-24	-1.69954e-23	2.96315e-23	1.98899e-23	-4.6163e-24	-2.11786e-23	4.1284e-23	-1.99041e-23	4.47691e-46	2.17758e-47	4.75933e-46	1.99321e-45	1.2742e-45
H1_395_415	LHO	857000056	-3.14559e-05	-8.65602e-05	-3.79003e-05	1.36348e-23	-1.76684e-23	2.52862e-23	8.027e-24	-3.25079e-23	-1.80981e-23	1.53025e-23	-3.3543e-23	4.17216e-23	-4.16719e-23	5.13449e-46	5.46339e-46	1.76453e-45	1.80513e-45	2.79331e-45
H1_395_415	LHO	857000058	-3.1456e-05	-8.65603e-05	-3.79003e-05	-2.08557e-23	-4.56627e-23	7.57188e-23	-4.60836e-23	5.52757e-24	4.0254e-23	-2.31367e-23	-6.20101e-24	4.97343e-24	-1.50883e-23	2.05534e-45	2.62039e-45	5.77179e-45	2.14844e-45	2.5821e-46
H1_395_415	LHO	857000060	-3.14561e-05	-8.65604e-05	-3.79003e-05	-2.45804e-23	5.20637e-24	2.5675e-23	-1.30591e-23	1.44877e-23	9.29466e-23	-1.26391e-23	-2.89883e-23	3.00635e-23	-3.05653e-23	9.24326e-45	1.86853e-46	1.49952e-45	1.07435e-45	1.14413e-45
H1_395_415	LHO	857000062	-3.14562e-05	-8.65605e-05	-3.79003e-05	1.89593e-23	-4.58472e-24	2.80332e-23	-3.54961e-23	3.78718e-23	-2.89873e-23	1.34195e-23	-1.31498e-23	-5.28256e-24	-1.46947e-24	1.19972e-45	2.01102e-46	9.58779e-46	1.28788e-45	1.43643e-45
H1_395_415	LHO	857000064	-3.14563e-05	-8.65606e-05	-3.79004e-05	-3.06161e-23	5.94802e-24	1.14943e-23	-3.94241e-23	2.39702e-23	-2.51656e-23	3.67641e-23	-2.52067e-23	3.49956e-23	-5.30909e-23	1.57065e-45	1.38698e-45	7.67498e-46	2.77896e-45	3.39322e-45
H1_395_415	LHO	857000066	-3.14563e-05	-8.65607e-05	-3.79004e-05	4.58978e-24	4.35352e-23	-4.81334e-23	1.23859e-23	2.54901e-23	5.68251e-24	-2.54794e-23	6.12254e-23	-2.99705e-23	-2.97157e-24	5.3357e-47	2.54451e-45	6.06538e-45	1.05164e-45	6.58573e-46
H1_395_415	LHO	857000068	-3.14564e-05	-8.65608e-05	-3.79004e-05	3.99264e-23	-5.54675e-23	8.17574e-24	2.97305e-23	-2.40621e-23	1.58588e-23	-3.82e-23	2.35141e-23	2.23364e-23	-2.5119e-23	1.84562e-45	4.53589e-45	6.19757e-46	1.38282e-45	1.20995e-45
H1_395_415	LHO	857000070	-3.14565e-05	-8.65609e-05	-3.79004e-05	-1.55544e-23	2.53928e-23	-9.60427e-24	1.77339e-24	-2.56644e-23	4.71281e-24	1.375e-23	-3.84759e-24	-2.21989e-24	-1.42579e-23	2.64151e-46	8.33853e-46	1.07046e-46	8.07282e-48	8.61947e-46
H1_395_415	LHO	857000072	-3.14566e-05	-8.6561e-05	-3.79004e-05	6.11878e-25	1.57119e-23	-7.36081e-24	1.04935e-23	-5.93614e-24	-1.11065e-23	-3.07662e-23	3.2175e-23	1.23221e-23	-4.81889e-23	1.23729e-46	1.19342e-45	1.08941e-45	2.61948e-46	2.35741e-45
H1_395_415	LHO	857000074	-3.14567e-05	-8.65611e-05	-3.79004e-05	2.87689e-23	-5.6695e-23	6.84458e-23	-4.87032e-23	-2.40251e-24	1.88878e-23	-1.8261e-23	4.84764e-23	-1.90809e-23	-1.5928e-24	1.1844e-45	3.54778e-45	7.03479e-45	2.73608e-45	8.30904e-48
