# seg	start    	stop     	duration
0	966384109	966384370	261
1	966384460	966384523	63
2	966384609	966385134	525
3	966385139	966385578	439
4	966385668	966385731	63
5	966386066	966386515	449
6	966386524	966387035	511
7	966387050	966414854	27804
8	966415153	966415753	600
9	966415758	966416269	511
10	966416284	966437768	21484
11	966438000	966438064	64
12	966439363	966440149	786
13	966440164	966440346	182
14	966440361	966440872	511
15	966440887	966457125	16238
16	966457503	966457606	103
17	966458443	966459281	838
18	966459296	966459384	88
19	966459399	966459908	509
20	966459923	966467673	7750
21	966468336	966469133	797
22	966469139	966469557	418
23	966469898	966470338	440
24	966470344	966470853	509
25	966470868	966490656	19788
26	966490765	966490826	61
27	966491076	966491138	62
28	966491697	966492230	533
29	966492236	966492745	509
30	966492760	966505515	12755
31	966505725	966506198	473
32	966506204	966506713	509
33	966506728	966507138	410
34	966507153	966507177	24
35	966507192	966550265	43073
36	966550503	966550969	466
37	966550973	966551485	512
38	966551500	966554674	3174
39	966554827	966555087	260
40	966555483	966555549	66
41	966555861	966556815	954
42	966556821	966556926	105
43	966557830	966558235	405
44	966558242	966558291	49
45	966558470	966558548	78
46	966558607	966558999	392
47	966559004	966559023	19
48	966559597	966560000	403
49	966560005	966560124	119
50	966560721	966560790	69
51	966562410	966562781	371
52	966563806	966564349	543
53	966564354	966564865	511
54	966564880	966566543	1663
55	966566828	966567052	224
56	966567091	966567594	503
57	966567601	966568111	510
58	966568126	966613773	45647
59	966614112	966614725	613
60	966614740	966614763	23
61	966614778	966615289	511
62	966615304	966637418	22114
63	966637527	966637606	79
64	966637770	966638405	635
65	966638420	966638906	486
66	966638921	966639432	511
67	966639447	966640454	1007
68	966640589	966640853	264
69	966640931	966641370	439
70	966641374	966641882	508
71	966641897	966651528	9631
72	966651752	966651813	61
73	966651948	966651953	5
74	966652028	966652032	4
75	966652155	966652157	2
76	966653479	966653481	2
77	966654986	966654992	6
78	966655383	966655384	1
79	966655558	966656502	944
80	966656506	966657015	509
81	966657030	966703996	46966
82	966704110	966704173	63
83	966704335	966704340	5
84	966719487	966719551	64
85	966720425	966721123	698
86	966721128	966721639	511
87	966721654	966727727	6073
88	966728131	966728697	566
89	966728706	966729213	507
90	966729228	966779954	50726
91	966780257	966780732	475
92	966780737	966781247	510
93	966781262	966783225	1963
94	966783883	966784416	533
95	966784422	966784931	509
96	966784946	966800696	15750
97	966800901	966800970	69
98	966801912	966802420	508
99	966802425	966802935	510
100	966802950	966804636	1686
101	966804651	966804652	1
102	966808970	966809648	678
103	966809653	966809958	305
104	966810100	966810506	406
105	966810512	966811022	510
106	966811037	966811450	413
107	966811774	966812254	480
108	966812261	966812767	506
109	966812782	966871166	58384
110	966871302	966871731	429
111	966871740	966872250	510
112	966872265	966889970	17705
113	966889989	966890192	203
114	966898129	966898168	39
115	966898443	966898483	40
116	966898582	966899304	722
117	966899310	966899766	456
118	966899954	966899955	1
119	966900314	966900853	539
120	966901180	966901741	561
121	966902049	966902435	386
122	966902828	966902887	59
123	966903251	966903310	59
124	966903461	966903521	60
125	966904090	966904705	615
126	966905933	966906589	656
127	966906897	966907333	436
128	966907600	966908706	1106
129	966908711	966909219	508
130	966909234	966910212	978
131	966911278	966912051	773
132	966912057	966912565	508
133	966912580	966916645	4065
134	966917106	966919878	2772
135	966919883	966920392	509
136	966920407	966945716	25309
137	966946085	966946090	5
138	966946116	966946647	531
139	966946652	966947163	511
140	966947178	967054536	107358
141	967054804	967055314	510
142	967055319	967055829	510
143	967055844	967060094	4250
144	967060486	967060995	509
145	967061004	967061523	519
146	967061538	967144160	82622
147	967144412	967146234	1822
148	967146239	967146749	510
149	967146764	967200093	53329
150	967200398	967200403	5
151	967200444	967200991	547
152	967200996	967201503	507
153	967201518	967245860	44342
154	967246048	967246053	5
155	967246109	967246626	517
156	967246631	967247140	509
157	967247155	967272412	25257
158	967272616	967272713	97
159	967272838	967272897	59
160	967273006	967273068	62
161	967273138	967273239	101
162	967273520	967273616	96
163	967274209	967274210	1
164	967274269	967274367	98
165	967274438	967274535	97
166	967274612	967274620	8
167	967274698	967274806	108
168	967274903	967274955	52
169	967275137	967275244	107
170	967275341	967275406	65
171	967275450	967275875	425
172	967276726	967277182	456
173	967277730	967277732	2
174	967277936	967277938	2
175	967277949	967277951	2
176	967279697	967279699	2
177	967281403	967281404	1
178	967281967	967281968	1
179	967285394	967285402	8
180	967285428	967285436	8
181	967285516	967285543	27
182	967285563	967285590	27
183	967285639	967285677	38
184	967286138	967286167	29
185	967286277	967286312	35
186	967286905	967286927	22
187	967287034	967287041	7
188	967287304	967287313	9
189	967287350	967287357	7
190	967288046	967288047	1
191	967288051	967288059	8
192	967288435	967288443	8
193	967288533	967288549	16
194	967288565	967288576	11
195	967288945	967289008	63
196	967289106	967289115	9
197	967289266	967289278	12
198	967289401	967289411	10
199	967289968	967290206	238
200	967290530	967290537	7
201	967290587	967290596	9
202	967290641	967290652	11
203	967290664	967290745	81
204	967291066	967291229	163
205	967291944	967292081	137
206	967292124	967292370	246
207	967293004	967293031	27
208	967293168	967293223	55
209	967293588	967293670	82
210	967293808	967293829	21
211	967293936	967294177	241
212	967294228	967294261	33
213	967294325	967294761	436
214	967295045	967295318	273
215	967295775	967296178	403
216	967296281	967296359	78
217	967296426	967297110	684
218	967297457	967297482	25
219	967297880	967298620	740
220	967298628	967298871	243
221	967299201	967299292	91
222	967300256	967300476	220
223	967301900	967302010	110
224	967302305	967302424	119
225	967302879	967303054	175
226	967303697	967304124	427
227	967304869	967305426	557
228	967305510	967305551	41
229	967305739	967305771	32
230	967306039	967306530	491
231	967307332	967307620	288
232	967307989	967308405	416
233	967308779	967308913	134
234	967314844	967315088	244
235	967315096	967315102	6
236	967321409	967321463	54
237	967321598	967321608	10
238	967321714	967321739	25
239	967322040	967322079	39
240	967322126	967322129	3
241	967322217	967322686	469
242	967322687	967322691	4
243	967322744	967323341	597
244	967323629	967323652	23
245	967323679	967323715	36
246	967324367	967324799	432
247	967325001	967326746	1745
248	967327056	967327157	101
249	967327209	967327232	23
250	967327303	967327364	61
251	967327558	967327852	294
252	967327946	967327994	48
253	967328051	967330147	2096
254	967330151	967330285	134
255	967330376	967330759	383
256	967332138	967335556	3418
257	967335560	967336072	512
258	967336087	967337033	946
259	967338237	967338716	479
260	967338731	967339856	1125
261	967340407	967341249	842
262	967341322	967342742	1420
263	967342976	967344121	1145
